Name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,total,MEAN,STANDARD,MEDIAN,VALUE,POS,TEAM,POINTS,FREQ
RAHUL,57,52,51,30,102,100,92,13,84,22,98,180,49,930,62.125,30.8522183157062,54.5,8.5,WK,PBKS,142,0
MAYANK,0,0,0,25,24,59,76,14,33,32,158,42,124,587,39.6,23.7200337267888,25,10,BAT,PBKS,20,0
POORAN,40,14,46,77,42,20,36,116,44,55,44,22,8,564,48.875,30.9169755150791,41,9.5,WK,PBKS,2,0
GAYLE,133,83,28,40,33,76,0,0,0,0,0,0,0,393,65.5,36.7094447429178,58,8.5,BAT,PBKS,58,0
HOODA,13,4,2,18,38,12,0,0,0,0,0,0,0,87,14.5,11.8286375659527,12.5,8.5,ALL,PBKS,114,0
MASHWIN,25,37,41,29,18,56,0,0,0,0,29,79,0,314,34.3333333333333,12.2701082128706,33,9,BOWL,PBKS,2,0
JORDAN,23,54,106,0,40,37,2,0,-2,0,0,0,19,279,43.6666666666667,32.1800490297258,38.5,9,BOWL,PBKS,0,0
SHAMI,-2,79,29,54,54,48,35,27,2,41,81,33,93,574,40.5,22.5111083689809,41.5,8.5,BOWL,PBKS,62,0
BISHNOI,4,64,47,4,31,2,29,84,4,3,4,95,31,402,33.125,28.3303613637384,30,9,BOWL,PBKS,0,0
ARSHDEEP,-2,2,81,2,48,27,37,70,0,0,0,0,0,265,33.125,29.7843813936096,32,8.5,BOWL,PBKS,91,0
MANDEEP,2,90,30,0,0,0,8,10,35,0,0,0,0,175,28,32.3975307701065,10,8,BAT,PBKS,0,0
BUTTLER,31,4,13,109,31,31,29,27,104,31,38,8,0,408,34.375,29.7192593279173,30,9,WK,RR,40,0
SAMSON,62,76,45,16,15,33,41,9,10,9,21,123,145,422,37.125,22.2229470367906,37,9.5,WK,RR,179,0
STOKES,132,163,38,24,29,45,10,0,0,0,0,0,0,108,63,55.0272659687904,38,9,ALL,RR,10,0
TEWATIA,20,4,6,41,59,27,65,98,18,34,45,79,88,554,40,30.3562184733211,34,9,ALL,RR,8,0
PARAG,4,4,28,4,4,5,52,0,0,21,13,2,11,112,14.4285714285714,17.4016185031914,4,9,BAT,RR,75,0
DUBE,40,18,25,32,77,5,9,40,11,10,7,73,93,357,30.75,21.3409817018805,28.5,8.5,ALL,RR,34,0
MORRIS,39,19,27,8,62,49,25,0,0,22,6,15,9,196,32.7142857142857,17.1273739602868,27,8,ALL,RR,62,0
ARCHER,54,62,75,37,2,100,35,91,58,52,74,15,64,528,57,30.1496268633627,58,8.5,BOWL,RR,0,0
GOPAL,4,54,4,35,29,36,4,0,63,29,5,8,27,236,23.7142857142857,18.4755768184788,29,8.5,BOWL,RR,-2,0
UNADKAT,0,0,0,0,-2,50,29,0,0,0,46,2,0,125,25.6666666666667,21.3593591248011,29,8,BOWL,RR,0,0
TYAGI,4,23,-2,29,29,45,27,31,27,0,0,0,0,188,23.25,14.2368360249038,28,8,BOWL,RR,0,0
